item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q113039931,Inna Gardiner,Q107614309,Minister for Children and Education,2022-07-12,,https://www.gov.je/Government/HowGovernmentWorks/CouncilMinisters/Pages/CouncilofMinisters.aspx,Q113039931-71FE7B06-85FC-4783-AA24-514B51761FC0
Q113039964,David Warr,Q107614316,Minister for Housing and Communities,2022-07-12,,https://www.gov.je/Government/HowGovernmentWorks/CouncilMinisters/Pages/CouncilofMinisters.aspx,Q113039964-638ED22B-160F-42E3-A5E6-658B3C1199E6
Q113039977,Karen Wilson,Q107614320,Minister for Health and Social Services,2022-07-12,,https://www.gov.je/Government/HowGovernmentWorks/CouncilMinisters/Pages/CouncilofMinisters.aspx,Q113039977-0A104F70-71CD-4BF1-A774-9DED286B89A1
Q113039990,Kirsten Morel,Q107614326,"Minister for Economic Development, Tourism, Sport and Culture",2022-07-12,,https://www.gov.je/Government/HowGovernmentWorks/CouncilMinisters/Pages/CouncilofMinisters.aspx,Q113039990-9638043C-A098-4682-9E5F-4D9D64BA2CFD
Q113039992,Tom Binet,Q107614333,Minister for Infrastructure,2022-07-12,,https://www.gov.je/Government/HowGovernmentWorks/CouncilMinisters/Pages/CouncilofMinisters.aspx,Q113039992-B14F4B1A-B26D-4EDF-A922-0AE34536B786
Q113040012,Elaine Millar,Q107614335,Minister for Social Security,2022-07-12,,https://www.gov.je/Government/HowGovernmentWorks/CouncilMinisters/Pages/CouncilofMinisters.aspx,Q113040012-062944D5-EE80-4FC4-89F6-0C593845D1B0
Q113040032,Jonathan Renouf,Q107614344,Minister for the Environment,2022-07-12,,https://www.gov.je/Government/HowGovernmentWorks/CouncilMinisters/Pages/CouncilofMinisters.aspx,Q113040032-15C09E35-AC02-44D3-8DE6-F1B14AFB08FC
Q113040072,Helen Miles,Q107614362,Minister for Home Affairs,2022-07-12,,https://www.gov.je/Government/HowGovernmentWorks/CouncilMinisters/Pages/CouncilofMinisters.aspx,Q113040072-48FD39CE-EF1D-4855-8016-7AA183FCAE7A
Q3379061,Philip Ozouf,Q107614351,Minister for External Relations and Financial Services,2022-07-12,,https://www.gov.je/Government/HowGovernmentWorks/CouncilMinisters/Pages/CouncilofMinisters.aspx,Q3379061-A1023DEB-413A-4489-834D-1830C2A8B1B8
Q5015992,Ian Gorst,Q107614278,Minister for Treasury and Resources,2022-07-12,,https://www.gov.je/Government/HowGovernmentWorks/CouncilMinisters/Pages/CouncilofMinisters.aspx,Q5015992-5F32A710-D659-4773-BC7D-55BC92EC08C9
Q5045403,Carolyn Labey,Q107614364,Minister for International Development,2018,,https://www.gov.je/Government/HowGovernmentWorks/CouncilMinisters/Pages/CouncilofMinisters.aspx,Q5045403-1D57CADC-54D3-4FFA-A50D-4C0D8ABF93E1
Q6438257,Kristina Moore,Q1281624,Chief Minister,2022-07-12,,https://www.gov.je/Government/HowGovernmentWorks/CouncilMinisters/Pages/CouncilofMinisters.aspx,Q6438257-975B617D-CFB5-402A-BAB9-1E55BEBB5FDE
