position,title
Q1281611,Lieutenant Governor
Q1281624,Chief Minister
Q107614325,Deputy Chief Minister
Q107614306,Assistant Chief Minister
Q107614309,Minister for Children and Education
Q107614326,"Minister for Economic Development, Tourism, Sport and Culture"
Q107614351,Minister for External Relations
Q107614320,Minister for Health and Social Services
Q107614362,Minister for Home Affairs
Q107614316,Minister for Housing and Communities
Q107614333,Minister for Infrastructure
Q107614364,Minister for International Development
Q107614335,Minister for Social Security
Q107614344,Minister for the Environment
Q107614278,Minister for Treasury and Resources
Q107614310,Assistant Minister for Social Security
